Seconds,RecordsProcessed-P0,RecordsProcessed-P1,RecordsProcessed-P2,RecordsProcessed-P3,RecordsProcessed-P4,RecordsProcessed-P5
0,500,0.0,0.0,303063.0,0.0,289508.0
1,144414,130543.0,91261.0,146228.0,88178.0,142245.0
2,102237,108220.0,102488.0,103493.0,109244.0,107840.0
3,105477,102691.0,104728.0,107310.0,103558.0,102530.0
4,109166,104411.0,105888.0,106910.0,105976.0,105964.0
5,104397,103282.0,106890.0,102597.0,107834.0,105298.0
6,103497,105503.0,107320.0,108129.0,106036.0,105555.0
7,106582,107542.0,104948.0,104759.0,104574.0,106123.0
8,100580,103125.0,102853.0,102660.0,105589.0,95006.0
9,104889,106934.0,100397.0,107638.0,107199.0,105378.0
10,103420,107972.0,104276.0,108815.0,105712.0,105484.0
11,108319,106131.0,107261.0,104808.0,106508.0,104938.0
12,107248,102627.0,105977.0,107618.0,100273.0,109308.0
13,105903,104228.0,107893.0,104561.0,106320.0,111541.0
14,133836,128344.0,132870.0,67658.0,129930.0,87317.0
15,148366,149366.0,142510.0,0.0,150177.0,2212.0
16,97417,115328.0,158687.0,0.0,149139.0,0.0
